numberscan,dnt
6,16/8/2021 18:02
4,16/8/2021 18:12
4,16/8/2021 18:17
3,16/8/2021 18:22
3,16/8/2021 18:27
1,17/8/2021 23:30
10,2021-08-18 21:18:35
3,2021-08-18 21:30:06
2,2021-08-18 21:34:53
12,2021-08-18 21:44:27
5,2021-08-18 21:58:37
2,2021-08-18 23:02:05
0,2021-08-18 23:03:16
0,2021-08-18 23:04:15
0,2021-08-18 23:05:45
0,2021-08-18 23:07:41
0,2021-08-18 23:11:04
0,2021-08-18 23:12:00
0,2021-08-18 23:13:17
0,2021-08-18 23:15:46
0,2021-08-18 23:17:38
0,2021-08-18 23:19:36
0,2021-08-18 23:20:48
0,2021-08-18 23:21:38
10,2021-08-19 14:01:23
6,2021-08-19 14:11:12
